Virtual User Script started at: 26-08-2020 18:27:32
Starting action vuser_init.
Web Turbo Replay of LoadRunner 2020.0.0 for Windows 10; build 793 (Nov 27 2019 19:51:20)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Project\PVI\Scripts\ViewCase_FCE2\\default.cfg"  	[MsgId: MMSG-27141]
Ending action vuser_init.
Running Vuser...
Starting iteration 1.
Starting action Action.
Action.c(4): web_set_sockets_option started  	[MsgId: MMSG-26355]
Action.c(4): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
Action.c(6): web_set_sockets_option started  	[MsgId: MMSG-26355]
Action.c(6): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
Action.c(8): web_cleanup_auto_headers started  	[MsgId: MMSG-26355]
Action.c(8): web_cleanup_auto_headers was successful  	[MsgId: MMSG-26392]
Action.c(9): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(9): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(11): Notify: Transaction "ViewCaseFCE_01_OpenApplication" started.
Action.c(14): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(14): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(18): web_concurrent_start started  	[MsgId: MMSG-26355]
Action.c(18): Warning -27123: Pending web_reg_save_param/web_reg_find/web_create_html_param/web_create_html_param_ex request(s) before web_concurrent_start apply to the first Action function within the group, not to the entire group  	[MsgId: MWAR-27123]
Action.c(18): web_concurrent_start highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(19): web_url("external") started  	[MsgId: MMSG-26355]
Action.c(19): Registering web_url("external") was successful  	[MsgId: MMSG-26390]
Action.c(31): web_url("bootstrap.min-79b5346433d3bdf736aab2379a008083.js") started  	[MsgId: MMSG-26355]
Action.c(31): Registering web_url("bootstrap.min-79b5346433d3bdf736aab2379a008083.js") was successful  	[MsgId: MMSG-26390]
Action.c(39): web_url("notify.min-a1134657dba6e98914066f2530604e68.js") started  	[MsgId: MMSG-26355]
Action.c(39): Registering web_url("notify.min-a1134657dba6e98914066f2530604e68.js") was successful  	[MsgId: MMSG-26390]
Action.c(79): web_url("jquery.core-2521768e514d3a431ddca828a1bebd3c.js") started  	[MsgId: MMSG-26355]
